what's the avaiability on october 4 2019,Restaurant->Restaurant availability#find table{'date'= '4 oct'|1|'october 4  2019')}
do they have any table left on december 6 2019,Restaurant->Restaurant availability#find table{'date'= '6 dec'|1|'december 6  2019')}
confirm the reservation,Reservation form->Reservation confirmation#continue reservation{}
place the reservation for 20:00,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'20:00')}
can you reserve on september 16 2019 for me,Restaurant->Restaurant availability#find table{'date'= '16 sep'|1|'september 16  2019'; 'number of people'= 'for 1'|1|'me')}
do they have any table left on december 24 2019,Restaurant->Restaurant availability#find table{'date'= '24 dec'|1|'december 24  2019')}
what about a table here at 12:30 am in the morning for just for 5,Restaurant->Restaurant availability#find table{'time'= '12:30'|1|'12:30 am in the morning'; 'number of people'= 'for 5'|1|'just for 5')}
what's the avaiability on 24 oct 2019,Restaurant->Restaurant availability#find table{'date'= '24 oct'|1|'24 oct 2019')}
can I book on august 12 2019 at 4:30 for a party of 3 people,Restaurant->Restaurant availability#find table{'time'= '4:30'|1|'4:30'; 'date'= '12 aug'|1|'august 12  2019'; 'number of people'= 'for 3'|1|'a party of 3 people')}
find me a table here for 6 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6 evening time')}
is it available on 12 sep 2019 at 4:30 in the morning,Restaurant->Restaurant availability#find table{'time'= '4:30'|1|'4:30 in the morning'; 'date'= '12 sep'|1|'12 sep 2019')}
can you get me a table at this one at 8 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8 pm time')}
can I book on december 18 2019 at 11:30 night time for about 6 people,Restaurant->Restaurant availability#find table{'time'= '23:30'|1|'11:30 night time'; 'date'= '18 dec'|1|'december 18  2019'; 'number of people'= 'for 6'|1|'about 6 people')}
what's the avaiability on october 9 2019,Restaurant->Restaurant availability#find table{'date'= '9 oct'|1|'october 9  2019')}
make the reservation now for 8:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'8:30 pm time')}
what's the avaiability on 15 aug 2019,Restaurant->Restaurant availability#find table{'date'= '15 aug'|1|'15 aug 2019')}
do have availability for a party of 3 people,Restaurant->Restaurant availability#find table{'number of people'= 'for 3'|1|'a party of 3 people')}
do have availability for a party of 7,Restaurant->Restaurant availability#find table{'number of people'= 'for 7'|1|'a party of 7')}
reserve for eric fanet and specify joseph_234@outlook.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'joseph_234@outlook.com'|0|'joseph_234@outlook.com'; 'first name'= 'eric'|0|'eric'; 'last name'= 'fanet'|0|'fanet'; 'phone number'= '7741234567'|0|'7741234567')}
place the reservation for 15:00,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'15:00')}
do have availability for about 6 people,Restaurant->Restaurant availability#find table{'number of people'= 'for 6'|1|'about 6 people')}
complete the reservation for 6:00 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 evening time')}
can I get a table here for 6:45 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 pm in the evening')}
can they accomodate about 10 people on december 13 2019,Restaurant->Restaurant availability#find table{'date'= '13 dec'|1|'december 13  2019'; 'number of people'= 'for 10'|1|'about 10 people')}
can you reserve on 7 aug 2019 for about 6 people,Restaurant->Restaurant availability#find table{'date'= '7 aug'|1|'7 aug 2019'; 'number of people'= 'for 6'|1|'about 6 people')}
I want to reserve for 17:30,Restaurant availability->Reservation form#booking time{'booking time'= '17:30'|1|'17:30')}
can you reserve on september 16 2019 for 5 people,Restaurant->Restaurant availability#find table{'date'= '16 sep'|1|'september 16  2019'; 'number of people'= 'for 5'|1|'5 people')}
book it at 3:00 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '15:00'|1|'3:00 pm in the afternoon')}
finalize the reservation for 7 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7 in the evening')}
I'm looking for restaurants in the tower restaurant,/->/search-listings/#search{'restaurant name or location'= 'the tower restaurant'|0|'the tower restaurant')}
make the reservation now for 4 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '16:00'|1|"4 o'clock")}
can they accomodate 9 people on november 18 2019,Restaurant->Restaurant availability#find table{'date'= '18 nov'|1|'november 18  2019'; 'number of people'= 'for 9'|1|'9 people')}
i need to see the menu to decide,Restaurant->Restaurant#menu{'menu'= 'menu'|1|'i need to see the menu to decide')}
make a reservation for this for 5 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 pm time')}
I want only results for london bridge,/search-listings/->/search-listings/#location{'location'= 'london bridge'|1|'london bridge')}
reserve it under eric johnson,Reservation form->Reservation confirmation#continue reservation{'first name'= 'eric'|0|'eric'; 'last name'= 'johnson'|0|'johnson')}
places where to eat in london bridge,/city-restaurants->/search-listings/#city area{'city area'= 'london bridge'|1|'london bridge')}
place the reservation for 18:15,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'18:15')}
can I book on august 23 2019 at 7 in the evening for 1 guest,Restaurant->Restaurant availability#find table{'time'= '19:00'|1|'7 in the evening'; 'date'= '23 aug'|1|'august 23  2019'; 'number of people'= 'for 1'|1|'1 guest')}
finalize the reservation for 5:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5:00 pm time')}
reserve for tom taylor and specify david123@gmail.com as email and 3124569876 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'david123@gmail.com'|0|'david123@gmail.com'; 'first name'= 'tom'|0|'tom'; 'last name'= 'taylor'|0|'taylor'; 'phone number'= '3124569876'|0|'3124569876')}
is it available on october 8 2019 at 5:00 am in the morning,Restaurant->Restaurant availability#find table{'time'= '5:00'|1|'5:00 am in the morning'; 'date'= '8 oct'|1|'october 8  2019')}
do they have any table left on 2 dec 2019,Restaurant->Restaurant availability#find table{'date'= '2 dec'|1|'2 dec 2019')}
place the reservation for 7 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|'7 pm time')}
can you reserve on 10 jul 2019 for a party of 11 people,Restaurant->Restaurant availability#find table{'date'= '10 jul'|1|'10 jul 2019'; 'number of people'= 'for 11'|1|'a party of 11 people')}
can I book on 23 aug 2019 at 7:30 in the evening for just for me,Restaurant->Restaurant availability#find table{'time'= '19:30'|1|'7:30 in the evening'; 'date'= '23 aug'|1|'23 aug 2019'; 'number of people'= 'for 1'|1|'just for me')}
get a table here for 6:15 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'6:15 pm in the evening')}
is it available on july 15 2019 at 5:00 pm time,Restaurant->Restaurant availability#find table{'time'= '17:00'|1|'5:00 pm time'; 'date'= '15 jul'|1|'july 15  2019')}
do have availability for the 8 of us,Restaurant->Restaurant availability#find table{'number of people'= 'for 8'|1|'the 8 of us')}
can you reserve on october 3 2019 for a party of 7 people,Restaurant->Restaurant availability#find table{'date'= '3 oct'|1|'october 3  2019'; 'number of people'= 'for 7'|1|'a party of 7 people')}
Is the restaurant available at 5 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 pm time')}
can I book on 6 aug 2019 at 22:30 for just for 12,Restaurant->Restaurant availability#find table{'time'= '22:30'|1|'22:30'; 'date'= '6 aug'|1|'6 aug 2019'; 'number of people'= 'for 12'|1|'just for 12')}
reserve for brian smith and specify bsmith@hotmail.com as email and 7741234567 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'bsmith@hotmail.com'|0|'bsmith@hotmail.com'; 'first name'= 'brian'|0|'brian'; 'last name'= 'smith'|0|'smith'; 'phone number'= '7741234567'|0|'7741234567')}
make a reservation for this for 5 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '17:00'|1|'5 evening time')}
confirm my table for 4:45 afternoon time,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 afternoon time')}
is it available on 20 dec 2019 at 4:00 pm in the afternoon,Restaurant->Restaurant availability#find table{'time'= '16:00'|1|'4:00 pm in the afternoon'; 'date'= '20 dec'|1|'20 dec 2019')}
book me this restaurant at 18:00,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'18:00')}
reserve for mark miller and specify bsmith@hotmail.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'bsmith@hotmail.com'|0|'bsmith@hotmail.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'miller'|0|'miller'; 'phone number'= '3122345786'|0|'3122345786')}
more on hutong at the shard,/search-listings/->Restaurant#restaurant name{'restaurant name'= 'hutong at the shard'|1|'hutong at the shard')}
avaiability for 7 o'clock,Restaurant availability->Reservation form#booking time{'booking time'= '19:00'|1|"7 o'clock")}
can I book on 5 dec 2019 at 7:30 am in the morning for about 12 people,Restaurant->Restaurant availability#find table{'time'= '7:30'|1|'7:30 am in the morning'; 'date'= '5 dec'|1|'5 dec 2019'; 'number of people'= 'for 12'|1|'about 12 people')}
reserve for mark fanet and specify tom.fanet@gmail.com as email and 3122345786 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'tom.fanet@gmail.com'|0|'tom.fanet@gmail.com'; 'first name'= 'mark'|0|'mark'; 'last name'= 'fanet'|0|'fanet'; 'phone number'= '3122345786'|0|'3122345786')}
can I book on 10 dec 2019 at 12:30 am time for just me,Restaurant->Restaurant availability#find table{'time'= '12:30'|1|'12:30 am time'; 'date'= '10 dec'|1|'10 dec 2019'; 'number of people'= 'for 1'|1|'just me')}
can I book on july 31 2019 at 17:30 for a party of 3,Restaurant->Restaurant availability#find table{'time'= '17:30'|1|'17:30'; 'date'= '31 jul'|1|'july 31  2019'; 'number of people'= 'for 3'|1|'a party of 3')}
any more information on the food options of the restaurant,Restaurant->Restaurant#menu{'menu'= 'menu'|1|'any more information on the food options of the restaurant')}
complete the reservation for 6:45 evening time,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 evening time')}
show me some places to eat in soho,/city-restaurants->/search-listings/#city area{'city area'= 'soho'|1|'soho')}
make a reservation for this for 9 in the night,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9 in the night')}
I need a reservation at this place at 4:45 pm in the afternoon,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'4:45 pm in the afternoon')}
Is the restaurant available at 16:45,Restaurant availability->Reservation form#booking time{'booking time'= '16:45'|1|'16:45')}
reserve for david miller and specify bsmith@hotmail.com as email and 4401233624 as phone contact number,Reservation form->Reservation confirmation#continue reservation{'email'= 'bsmith@hotmail.com'|0|'bsmith@hotmail.com'; 'first name'= 'david'|0|'david'; 'last name'= 'miller'|0|'miller'; 'phone number'= '4401233624'|0|'4401233624')}
do have availability for 8 people,Restaurant->Restaurant availability#find table{'number of people'= 'for 8'|1|'8 people')}
avaiability for 8:00 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '20:00'|1|'8:00 pm time')}
what's the availability on 30 jul 2019 for a group of 6 friends,Restaurant->Restaurant availability#find table{'date'= '30 jul'|1|'30 jul 2019'; 'number of people'= 'for 6'|1|'a group of 6 friends')}
get a table here for 18:15,Restaurant availability->Reservation form#booking time{'booking time'= '18:15'|1|'18:15')}
is it available on 16 jul 2019 at 10:30 in the night,Restaurant->Restaurant availability#find table{'time'= '22:30'|1|'10:30 in the night'; 'date'= '16 jul'|1|'16 jul 2019')}
I want a table here for 6:45 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:45'|1|'6:45 pm in the evening')}
find me a table here for 6:30 pm in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:30'|1|'6:30 pm in the evening')}
what's the avaiability on 1 oct 2019,Restaurant->Restaurant availability#find table{'date'= '1 oct'|1|'1 oct 2019')}
confirm my table for 9 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '21:00'|1|'9 pm time')}
list restaurants in edinburgh city center,/city-restaurants->/search-listings/#city area{'city area'= 'edinburgh city center'|1|'edinburgh city center')}
please show me options that provides offer,/search-listings/->/search-listings/#show restaurants with offer{'show restaurants with offer'= 'true'|1|'please show me options that provides offer')}
I want a table here for 6:00 in the evening,Restaurant availability->Reservation form#booking time{'booking time'= '18:00'|1|'6:00 in the evening')}
book me this restaurant at 8:30 pm time,Restaurant availability->Reservation form#booking time{'booking time'= '20:30'|1|'8:30 pm time')}
